"","Var1","Var2","value","summed_score","percentage","responses","proportion","nice_names"
"1","1_'< 5,000' students","Faculty Issues: Expertise/training",74,144,51.3888888888889,382,0.193717277486911,"Less.than.5000"
"2","2_'5,000 - 15,000' students","Faculty Issues: Expertise/training",47,144,32.6388888888889,333,0.141141141141141,"X5000.15000"
"3","3_'> 15,000' students","Faculty Issues: Expertise/training",23,144,15.9722222222222,284,0.0809859154929577,"More.than.15000"
"4","1_'< 5,000' students","Faculty Issues: Time",34,72,47.2222222222222,382,0.0890052356020942,"Less.than.5000"
"5","2_'5,000 - 15,000' students","Faculty Issues: Time",22,72,30.5555555555556,333,0.0660660660660661,"X5000.15000"
"6","3_'> 15,000' students","Faculty Issues: Time",16,72,22.2222222222222,284,0.0563380281690141,"More.than.15000"
"7","1_'< 5,000' students","Faculty Issues: Too few faculty",27,43,62.7906976744186,382,0.0706806282722513,"Less.than.5000"
"8","2_'5,000 - 15,000' students","Faculty Issues: Too few faculty",11,43,25.5813953488372,333,0.033033033033033,"X5000.15000"
"9","3_'> 15,000' students","Faculty Issues: Too few faculty",5,43,11.6279069767442,284,0.0176056338028169,"More.than.15000"
"10","1_'< 5,000' students","Faculty Issues: Lack of interest",13,31,41.9354838709677,382,0.0340314136125654,"Less.than.5000"
"11","2_'5,000 - 15,000' students","Faculty Issues: Lack of interest",10,31,32.258064516129,333,0.03003003003003,"X5000.15000"
"12","3_'> 15,000' students","Faculty Issues: Lack of interest",8,31,25.8064516129032,284,0.028169014084507,"More.than.15000"
"13","1_'< 5,000' students","Curriculum Issues: No space",17,48,35.4166666666667,382,0.0445026178010471,"Less.than.5000"
"14","2_'5,000 - 15,000' students","Curriculum Issues: No space",17,48,35.4166666666667,333,0.0510510510510511,"X5000.15000"
"15","3_'> 15,000' students","Curriculum Issues: No space",14,48,29.1666666666667,284,0.0492957746478873,"More.than.15000"
"16","1_'< 5,000' students","Curriculum Issues: Incompatible with current curriculum",5,26,19.2307692307692,382,0.0130890052356021,"Less.than.5000"
"17","2_'5,000 - 15,000' students","Curriculum Issues: Incompatible with current curriculum",11,26,42.3076923076923,333,0.033033033033033,"X5000.15000"
"18","3_'> 15,000' students","Curriculum Issues: Incompatible with current curriculum",10,26,38.4615384615385,284,0.0352112676056338,"More.than.15000"
"19","1_'< 5,000' students","Curriculum Issues: Integration needed at every level",8,22,36.3636363636364,382,0.0209424083769634,"Less.than.5000"
"20","2_'5,000 - 15,000' students","Curriculum Issues: Integration needed at every level",7,22,31.8181818181818,333,0.021021021021021,"X5000.15000"
"21","3_'> 15,000' students","Curriculum Issues: Integration needed at every level",7,22,31.8181818181818,284,0.0246478873239437,"More.than.15000"
"22","1_'< 5,000' students","Curriculum Issues: Bioinformatics curriculum is under development",6,18,33.3333333333333,382,0.0157068062827225,"Less.than.5000"
"23","2_'5,000 - 15,000' students","Curriculum Issues: Bioinformatics curriculum is under development",11,18,61.1111111111111,333,0.033033033033033,"X5000.15000"
"24","3_'> 15,000' students","Curriculum Issues: Bioinformatics curriculum is under development",1,18,5.55555555555556,284,0.00352112676056338,"More.than.15000"
"25","1_'< 5,000' students","Curriculum Issues: Not required for life sci/pre-med majors",4,12,33.3333333333333,382,0.0104712041884817,"Less.than.5000"
"26","2_'5,000 - 15,000' students","Curriculum Issues: Not required for life sci/pre-med majors",4,12,33.3333333333333,333,0.012012012012012,"X5000.15000"
"27","3_'> 15,000' students","Curriculum Issues: Not required for life sci/pre-med majors",4,12,33.3333333333333,284,0.0140845070422535,"More.than.15000"
"28","1_'< 5,000' students","Curriculum Issues: Class size",0,4,0,382,0,"Less.than.5000"
"29","2_'5,000 - 15,000' students","Curriculum Issues: Class size",2,4,50,333,0.00600600600600601,"X5000.15000"
"30","3_'> 15,000' students","Curriculum Issues: Class size",2,4,50,284,0.00704225352112676,"More.than.15000"
"31","1_'< 5,000' students","Curriculum Issues: Too few seats",1,3,33.3333333333333,382,0.00261780104712042,"Less.than.5000"
"32","2_'5,000 - 15,000' students","Curriculum Issues: Too few seats",0,3,0,333,0,"X5000.15000"
"33","3_'> 15,000' students","Curriculum Issues: Too few seats",2,3,66.6666666666667,284,0.00704225352112676,"More.than.15000"
"34","1_'< 5,000' students","Student Issues: Lack of interest",20,38,52.6315789473684,382,0.0523560209424084,"Less.than.5000"
"35","2_'5,000 - 15,000' students","Student Issues: Lack of interest",10,38,26.3157894736842,333,0.03003003003003,"X5000.15000"
"36","3_'> 15,000' students","Student Issues: Lack of interest",8,38,21.0526315789474,284,0.028169014084507,"More.than.15000"
"37","1_'< 5,000' students","Student Issues: Background knowledge",12,30,40,382,0.031413612565445,"Less.than.5000"
"38","2_'5,000 - 15,000' students","Student Issues: Background knowledge",11,30,36.6666666666667,333,0.033033033033033,"X5000.15000"
"39","3_'> 15,000' students","Student Issues: Background knowledge",7,30,23.3333333333333,284,0.0246478873239437,"More.than.15000"
"40","1_'< 5,000' students","Institutional: Institutional inertia",7,24,29.1666666666667,382,0.0183246073298429,"Less.than.5000"
"41","2_'5,000 - 15,000' students","Institutional: Institutional inertia",7,24,29.1666666666667,333,0.021021021021021,"X5000.15000"
"42","3_'> 15,000' students","Institutional: Institutional inertia",10,24,41.6666666666667,284,0.0352112676056338,"More.than.15000"
"43","1_'< 5,000' students","Institutional: Inter-departmental cooperation",6,15,40,382,0.0157068062827225,"Less.than.5000"
"44","2_'5,000 - 15,000' students","Institutional: Inter-departmental cooperation",7,15,46.6666666666667,333,0.021021021021021,"X5000.15000"
"45","3_'> 15,000' students","Institutional: Inter-departmental cooperation",2,15,13.3333333333333,284,0.00704225352112676,"More.than.15000"
"46","1_'< 5,000' students","Institutional: IT support",6,7,85.7142857142857,382,0.0157068062827225,"Less.than.5000"
"47","2_'5,000 - 15,000' students","Institutional: IT support",1,7,14.2857142857143,333,0.003003003003003,"X5000.15000"
"48","3_'> 15,000' students","Institutional: IT support",0,7,0,284,0,"More.than.15000"
"49","1_'< 5,000' students","Institutional: State regulation",0,2,0,382,0,"Less.than.5000"
"50","2_'5,000 - 15,000' students","Institutional: State regulation",0,2,0,333,0,"X5000.15000"
"51","3_'> 15,000' students","Institutional: State regulation",2,2,100,284,0.00704225352112676,"More.than.15000"
"52","1_'< 5,000' students","Resource Issues: Funding",14,25,56,382,0.0366492146596859,"Less.than.5000"
"53","2_'5,000 - 15,000' students","Resource Issues: Funding",9,25,36,333,0.027027027027027,"X5000.15000"
"54","3_'> 15,000' students","Resource Issues: Funding",2,25,8,284,0.00704225352112676,"More.than.15000"
"55","1_'< 5,000' students","Resource Issues: Access to software",7,10,70,382,0.0183246073298429,"Less.than.5000"
"56","2_'5,000 - 15,000' students","Resource Issues: Access to software",0,10,0,333,0,"X5000.15000"
"57","3_'> 15,000' students","Resource Issues: Access to software",3,10,30,284,0.0105633802816901,"More.than.15000"
"58","1_'< 5,000' students","Resource Issues: Access to bioinformatics lesson plans/curricula",3,4,75,382,0.00785340314136126,"Less.than.5000"
"59","2_'5,000 - 15,000' students","Resource Issues: Access to bioinformatics lesson plans/curricula",1,4,25,333,0.003003003003003,"X5000.15000"
"60","3_'> 15,000' students","Resource Issues: Access to bioinformatics lesson plans/curricula",0,4,0,284,0,"More.than.15000"
"61","1_'< 5,000' students","Facilities: Access to computer(s)/labs",9,19,47.3684210526316,382,0.0235602094240838,"Less.than.5000"
"62","2_'5,000 - 15,000' students","Facilities: Access to computer(s)/labs",5,19,26.3157894736842,333,0.015015015015015,"X5000.15000"
"63","3_'> 15,000' students","Facilities: Access to computer(s)/labs",5,19,26.3157894736842,284,0.0176056338028169,"More.than.15000"
"64","1_'< 5,000' students","Facilities: Servers",2,3,66.6666666666667,382,0.00523560209424084,"Less.than.5000"
"65","2_'5,000 - 15,000' students","Facilities: Servers",1,3,33.3333333333333,333,0.003003003003003,"X5000.15000"
"66","3_'> 15,000' students","Facilities: Servers",0,3,0,284,0,"More.than.15000"
