"","Var2","chi_test"
"1",Faculty Issues: Expertise/training,0.335332333833083
"2",Faculty Issues: Time,1
"3",Faculty Issues: No comp-sci faculty,1
"4",Facilities Issues: Access to computer labs,0.816591704147926
"5",Facilities Issues: Inadaquate computers,0.871064467766117
"6",Facilities Issues: Access to servers,0.632183908045977
"7",Facilities Issues: Access to internet,0.325337331334333
"8",Resource Issues: Access to operating systems,0.139430284857571
"9",Resource Issues: Apropriate software,0.353823088455772
"10",Resource Issues: Access to high-performance computing,0.00449775112443778
"11",Resource Issues: Funding,0.527736131934033
"12",Institutional Issues: Access to IT support,0.000499750124937531
"13",Institutional Issues: Subscriptions/licenses,1
"14",Institutional Issues: No support from comp-sci faculty,0.0679660169915042
"15",Student Issues: Access to software off-campus,0.731634182908546
"16",Student Issues: Basic computing knowledge,0.413293353323338
"17",Student Issues: Access to computers Off-campus,0.0364817591204398
"18",Curriculum Issues: New program development required,0.913543228385807
"19",Curriculum Issues: Class size,1
"20",Curriculum Issues: Access to bioinformatics lesson plans,1
