"","Var1","Var2","value","summed_score","percentage","responses","proportion","nice_names"
"1","1_Associate's College","Faculty Issues: Expertise/training",7,27,25.9259259259259,176,0.0397727272727273,"Associates"
"2","2_Baccalaureate College","Faculty Issues: Expertise/training",10,27,37.037037037037,228,0.043859649122807,"Baccalaureate"
"3","3_Master's (Small, Medium, Large)","Faculty Issues: Expertise/training",7,27,25.9259259259259,204,0.0343137254901961,"Masters"
"4","4_Doctoral University (High, Higher, Highest Research Activity)","Faculty Issues: Expertise/training",3,27,11.1111111111111,358,0.00837988826815642,"Doctoral"
"5","1_Associate's College","Faculty Issues: Time",1,6,16.6666666666667,176,0.00568181818181818,"Associates"
"6","2_Baccalaureate College","Faculty Issues: Time",1,6,16.6666666666667,228,0.0043859649122807,"Baccalaureate"
"7","3_Master's (Small, Medium, Large)","Faculty Issues: Time",2,6,33.3333333333333,204,0.00980392156862745,"Masters"
"8","4_Doctoral University (High, Higher, Highest Research Activity)","Faculty Issues: Time",2,6,33.3333333333333,358,0.00558659217877095,"Doctoral"
"9","1_Associate's College","Faculty Issues: No interest in topic",0,0,NA,176,0,"Associates"
"10","2_Baccalaureate College","Faculty Issues: No interest in topic",0,0,NA,228,0,"Baccalaureate"
"11","3_Master's (Small, Medium, Large)","Faculty Issues: No interest in topic",0,0,NA,204,0,"Masters"
"12","4_Doctoral University (High, Higher, Highest Research Activity)","Faculty Issues: No interest in topic",0,0,NA,358,0,"Doctoral"
"13","1_Associate's College","Faculty Issues: No comp-sci faculty",0,1,0,176,0,"Associates"
"14","2_Baccalaureate College","Faculty Issues: No comp-sci faculty",1,1,100,228,0.0043859649122807,"Baccalaureate"
"15","3_Master's (Small, Medium, Large)","Faculty Issues: No comp-sci faculty",0,1,0,204,0,"Masters"
"16","4_Doctoral University (High, Higher, Highest Research Activity)","Faculty Issues: No comp-sci faculty",0,1,0,358,0,"Doctoral"
"17","1_Associate's College","Facilities Issues: Access to computer labs",37,154,24.025974025974,176,0.210227272727273,"Associates"
"18","2_Baccalaureate College","Facilities Issues: Access to computer labs",41,154,26.6233766233766,228,0.179824561403509,"Baccalaureate"
"19","3_Master's (Small, Medium, Large)","Facilities Issues: Access to computer labs",34,154,22.0779220779221,204,0.166666666666667,"Masters"
"20","4_Doctoral University (High, Higher, Highest Research Activity)","Facilities Issues: Access to computer labs",42,154,27.2727272727273,358,0.11731843575419,"Doctoral"
"21","1_Associate's College","Facilities Issues: Inadaquate computers",4,24,16.6666666666667,176,0.0227272727272727,"Associates"
"22","2_Baccalaureate College","Facilities Issues: Inadaquate computers",6,24,25,228,0.0263157894736842,"Baccalaureate"
"23","3_Master's (Small, Medium, Large)","Facilities Issues: Inadaquate computers",7,24,29.1666666666667,204,0.0343137254901961,"Masters"
"24","4_Doctoral University (High, Higher, Highest Research Activity)","Facilities Issues: Inadaquate computers",7,24,29.1666666666667,358,0.0195530726256983,"Doctoral"
"25","1_Associate's College","Facilities Issues: Access to servers",1,9,11.1111111111111,176,0.00568181818181818,"Associates"
"26","2_Baccalaureate College","Facilities Issues: Access to servers",4,9,44.4444444444444,228,0.0175438596491228,"Baccalaureate"
"27","3_Master's (Small, Medium, Large)","Facilities Issues: Access to servers",2,9,22.2222222222222,204,0.00980392156862745,"Masters"
"28","4_Doctoral University (High, Higher, Highest Research Activity)","Facilities Issues: Access to servers",2,9,22.2222222222222,358,0.00558659217877095,"Doctoral"
"29","1_Associate's College","Facilities Issues: Access to internet",6,14,42.8571428571429,176,0.0340909090909091,"Associates"
"30","2_Baccalaureate College","Facilities Issues: Access to internet",1,14,7.14285714285714,228,0.0043859649122807,"Baccalaureate"
"31","3_Master's (Small, Medium, Large)","Facilities Issues: Access to internet",3,14,21.4285714285714,204,0.0147058823529412,"Masters"
"32","4_Doctoral University (High, Higher, Highest Research Activity)","Facilities Issues: Access to internet",4,14,28.5714285714286,358,0.0111731843575419,"Doctoral"
"33","1_Associate's College","Resource Issues: Access to operating systems",6,50,12,176,0.0340909090909091,"Associates"
"34","2_Baccalaureate College","Resource Issues: Access to operating systems",17,50,34,228,0.0745614035087719,"Baccalaureate"
"35","3_Master's (Small, Medium, Large)","Resource Issues: Access to operating systems",15,50,30,204,0.0735294117647059,"Masters"
"36","4_Doctoral University (High, Higher, Highest Research Activity)","Resource Issues: Access to operating systems",12,50,24,358,0.0335195530726257,"Doctoral"
"37","1_Associate's College","Resource Issues: Apropriate software",13,41,31.7073170731707,176,0.0738636363636364,"Associates"
"38","2_Baccalaureate College","Resource Issues: Apropriate software",9,41,21.9512195121951,228,0.0394736842105263,"Baccalaureate"
"39","3_Master's (Small, Medium, Large)","Resource Issues: Apropriate software",13,41,31.7073170731707,204,0.0637254901960784,"Masters"
"40","4_Doctoral University (High, Higher, Highest Research Activity)","Resource Issues: Apropriate software",6,41,14.6341463414634,358,0.0167597765363128,"Doctoral"
"41","1_Associate's College","Resource Issues: Access to high-performance computing",13,63,20.6349206349206,176,0.0738636363636364,"Associates"
"42","2_Baccalaureate College","Resource Issues: Access to high-performance computing",28,63,44.4444444444444,228,0.12280701754386,"Baccalaureate"
"43","3_Master's (Small, Medium, Large)","Resource Issues: Access to high-performance computing",15,63,23.8095238095238,204,0.0735294117647059,"Masters"
"44","4_Doctoral University (High, Higher, Highest Research Activity)","Resource Issues: Access to high-performance computing",7,63,11.1111111111111,358,0.0195530726256983,"Doctoral"
"45","1_Associate's College","Resource Issues: Funding",4,20,20,176,0.0227272727272727,"Associates"
"46","2_Baccalaureate College","Resource Issues: Funding",8,20,40,228,0.0350877192982456,"Baccalaureate"
"47","3_Master's (Small, Medium, Large)","Resource Issues: Funding",4,20,20,204,0.0196078431372549,"Masters"
"48","4_Doctoral University (High, Higher, Highest Research Activity)","Resource Issues: Funding",4,20,20,358,0.0111731843575419,"Doctoral"
"49","1_Associate's College","Institutional Issues: Access to IT support",26,116,22.4137931034483,176,0.147727272727273,"Associates"
