"","Var2","chi_test"
"1",Faculty Issues: Expertise/Training,0.000999500249875062
"2",Faculty Issues: Time,0.0239880059970015
"3",Faculty Issues: Differences of opinion,0.419790104947526
"4",Faculty Issues: Content development,0.411294352823588
"5",Faculty Issues: Too few faculty,0.535232383808096
"6",Faculities Issues: Access to computer labs,0.896551724137931
"7",Faculities Issues: Inadaquate computers,1
"8",Resource Issues: Access to software,0.188405797101449
"9",Resource Issues: Funding,0.0434782608695652
"10",Resource Issues: Software/license fees,0.0804597701149425
"11",Student Issues: Lack of background skills/knowledge,0.956021989005497
"12",Student Issues: Lack of interest,0.24087956021989
"13",Student Issues: Intimidated by topic,0.472263868065967
"14",Student Issues: Varying student backrounds,0.0669665167416292
"15",Student Issues: Lack of basic computing skills,0.230884557721139
"16",Student Issues: Career prospects,0.23888055972014
"17",Curriculum Issues: Lack of integration,0.738130934532734
"18",Curriculum Issues: Too much content,0.39880059970015
"19",Curriculum Issues: Quickly changing technologies,0.00999500249875063
"20",Curriculum Issues: Access to bioinformatics lesson plans/curriculum,0.316341829085457
"21",Curriculum Issues: Difficulty establishing relevance,0.43728135932034
"22",Curriculum Issues: Influence from professional schools,1
"23",Institutional Issues: Lack of inter-departmental cooperation,0.365817091454273
"24",Institutional Issues: Lack of IT support,0.11544227886057
