"","Less.than.5000","X5000.15000","More.than.15000"
"Faculty Issues: Expertise/training","15"," 9"," 3"
"Faculty Issues: Time","2","2","4"
"Faculty Issues: No interest in topic","0","1","0"
"Faculty Issues: No comp-sci faculty","1","0","0"
"Facilities Issues: Access to computer labs","63","57","41"
"Facilities Issues: Inadaquate computers","10"," 9"," 7"
"Facilities Issues: Access to servers","8","3","0"
"Facilities Issues: Access to internet"," 1","10"," 4"
"Resource Issues: Access to operating systems","24","18","10"
"Resource Issues: Apropriate software","19","18"," 7"
"Resource Issues: Access to high-performance computing","32","20","13"
"Resource Issues: Funding","11"," 5"," 4"
"Institutional Issues: Access to IT support","67","41","16"
"Institutional Issues: Subscriptions/licenses","2","0","1"
"Institutional Issues: No support from comp-sci faculty","2","2","0"
"Student Issues: Access to software off-campus","1","6","2"
"Student Issues: Basic computing knowledge","1","3","2"
"Student Issues: Access to computers Off-campus","2","8","2"
"Student Issues: No interest in bioinformatics","0","0","0"
"Curriculum Issues: New program development required","2","0","2"
"Curriculum Issues: Class size","0","3","0"
"Curriculum Issues: Access to bioinformatics lesson plans","1","1","0"
