"","Var1","Var2","value","summed_score","percentage","responses","proportion","nice_names"
"1","1_'< 5,000' students","Faculty Issues: Expertise/training",15,27,55.5555555555556,382,0.0392670157068063,"Less.than.5000"
"2","2_'5,000 - 15,000' students","Faculty Issues: Expertise/training",9,27,33.3333333333333,333,0.027027027027027,"X5000.15000"
"3","3_'> 15,000' students","Faculty Issues: Expertise/training",3,27,11.1111111111111,284,0.0105633802816901,"More.than.15000"
"4","1_'< 5,000' students","Faculty Issues: Time",2,8,25,382,0.00523560209424084,"Less.than.5000"
"5","2_'5,000 - 15,000' students","Faculty Issues: Time",2,8,25,333,0.00600600600600601,"X5000.15000"
"6","3_'> 15,000' students","Faculty Issues: Time",4,8,50,284,0.0140845070422535,"More.than.15000"
"7","1_'< 5,000' students","Faculty Issues: No interest in topic",0,1,0,382,0,"Less.than.5000"
"8","2_'5,000 - 15,000' students","Faculty Issues: No interest in topic",1,1,100,333,0.003003003003003,"X5000.15000"
"9","3_'> 15,000' students","Faculty Issues: No interest in topic",0,1,0,284,0,"More.than.15000"
"10","1_'< 5,000' students","Faculty Issues: No comp-sci faculty",1,1,100,382,0.00261780104712042,"Less.than.5000"
"11","2_'5,000 - 15,000' students","Faculty Issues: No comp-sci faculty",0,1,0,333,0,"X5000.15000"
"12","3_'> 15,000' students","Faculty Issues: No comp-sci faculty",0,1,0,284,0,"More.than.15000"
"13","1_'< 5,000' students","Facilities Issues: Access to computer labs",63,161,39.1304347826087,382,0.164921465968586,"Less.than.5000"
"14","2_'5,000 - 15,000' students","Facilities Issues: Access to computer labs",57,161,35.4037267080745,333,0.171171171171171,"X5000.15000"
"15","3_'> 15,000' students","Facilities Issues: Access to computer labs",41,161,25.4658385093168,284,0.144366197183099,"More.than.15000"
"16","1_'< 5,000' students","Facilities Issues: Inadaquate computers",10,26,38.4615384615385,382,0.0261780104712042,"Less.than.5000"
"17","2_'5,000 - 15,000' students","Facilities Issues: Inadaquate computers",9,26,34.6153846153846,333,0.027027027027027,"X5000.15000"
"18","3_'> 15,000' students","Facilities Issues: Inadaquate computers",7,26,26.9230769230769,284,0.0246478873239437,"More.than.15000"
"19","1_'< 5,000' students","Facilities Issues: Access to servers",8,11,72.7272727272727,382,0.0209424083769634,"Less.than.5000"
"20","2_'5,000 - 15,000' students","Facilities Issues: Access to servers",3,11,27.2727272727273,333,0.00900900900900901,"X5000.15000"
"21","3_'> 15,000' students","Facilities Issues: Access to servers",0,11,0,284,0,"More.than.15000"
"22","1_'< 5,000' students","Facilities Issues: Access to internet",1,15,6.66666666666667,382,0.00261780104712042,"Less.than.5000"
"23","2_'5,000 - 15,000' students","Facilities Issues: Access to internet",10,15,66.6666666666667,333,0.03003003003003,"X5000.15000"
"24","3_'> 15,000' students","Facilities Issues: Access to internet",4,15,26.6666666666667,284,0.0140845070422535,"More.than.15000"
