"","Var2","chi_test"
"1",Faculty Issues: Expertise/Training,0.000499750124937531
"2",Faculty Issues: Time,0.0374812593703148
"3",Faculty Issues: Differences of opinion,0.431284357821089
"4",Faculty Issues: Content development,0.439780109945027
"5",Faculty Issues: Too few faculty,0.523238380809595
"6",Faculities Issues: Access to computer labs,0.898550724637681
"7",Faculities Issues: Inadaquate computers,1
"8",Resource Issues: Access to software,0.185907046476762
"9",Resource Issues: Funding,0.0439780109945027
"10",Resource Issues: Software/license fees,0.071464267866067
"11",Student Issues: Lack of background skills/knowledge,0.954522738630685
"12",Student Issues: Lack of interest,0.23888055972014
"13",Student Issues: Intimidated by topic,0.497251374312844
"14",Student Issues: Varying student backrounds,0.0524737631184408
"15",Student Issues: Lack of basic computing skills,0.219890054972514
"16",Student Issues: Career prospects,0.248875562218891
"17",Curriculum Issues: Lack of integration,0.741129435282359
"18",Curriculum Issues: Too much content,0.4007996001999
"19",Curriculum Issues: Quickly changing technologies,0.0079960019990005
"20",Curriculum Issues: Access to bioinformatics lesson plans/curriculum,0.335832083958021
"21",Curriculum Issues: Difficulty establishing relevance,0.443778110944528
"22",Curriculum Issues: Influence from professional schools,1
"23",Institutional Issues: Lack of inter-departmental cooperation,0.348325837081459
"24",Institutional Issues: Lack of IT support,0.0909545227386307
