"","Var2","chi_test"
"1",Faculty Issues: Expertise/training,0.000499750124937531
"2",Faculty Issues: Time,0.0269865067466267
"3",Faculty Issues: Curriculum design/integration,0.710144927536232
"4",Faculty Issues: Lack of interest,0.0549725137431284
"5",Faculty Issues: New Faculty,0.300849575212394
"6",Curriculum Issues: No space,0.256871564217891
"7",Curriculum Issues: Incompatible with current curriculum,1
"8",Curriculum Issues: Time needed to develop,0.730634682658671
"9",Curriculum Issues: No control,0.88655672163918
"10",Curriculum Issues: Covered elsewhere,0.364817591204398
"11",Curriculum Issues: Class size,0.749125437281359
"12",Curriculum Issues: Plan for future coverage,0.922538730634683
"13",Curriculum Issues: Too much content,0.393803098450775
"14",Curriculum Issues: Content requires several courses,1
"15",Resource Issues: Access to exercises,0.471264367816092
"16",Resource Issues: Access to lesson plans,0.32183908045977
"17",Resource Issues: Access to intro content,0.84207896051974
"18",Resource Issues: Unable to vet content,0.363318340829585
"19",Resource Issues: Funding,0.253373313343328
"20",Resource Issues: No appropriate textbook,0.289355322338831
"21",Resource Issues: No access to online exercises,1
"22",Resource Issues: No qualified TAs,1
"23",Student Issues: Background knowledge,0.578210894552724
"24",Student Issues: Interest in topic,0.0664667666166917
"25",Facilities: Access to equipment,0.756621689155422
"26",Institutional: Inertia,0.785607196401799
"27",State Restrictions,0.322838580709645
"28",Accreditation,1
