Var1,Var2,value,summed_score,percentage,responses,proportion,nice_names,positive_scored_response,null_scored_response,prop_test_chi_pvalue
1_Associate's College,Faculty Issues: Expertise/training,34.0,160.0,21.25,176.0,0.19318181818181818,Associates,34.0,142.0,3.6343223067452904e-5
2_Baccalaureate College,Faculty Issues: Expertise/training,52.0,160.0,32.5,228.0,0.22807017543859648,Baccalaureate,52.0,176.0,3.6343223067452904e-5
"3_Master's (Small, Medium, Large)",Faculty Issues: Expertise/training,41.0,160.0,25.624999999999996,204.0,0.20098039215686275,Masters,41.0,163.0,3.6343223067452904e-5
"4_Doctoral University (High, Higher, Highest Research Activity)",Faculty Issues: Expertise/training,33.0,160.0,20.625,358.0,0.09217877094972067,Doctoral,33.0,325.0,3.6343223067452904e-5
1_Associate's College,Faculty Issues: Time,32.0,127.0,25.196850393700785,176.0,0.18181818181818182,Associates,32.0,144.0,0.08685162745385575
2_Baccalaureate College,Faculty Issues: Time,32.0,127.0,25.196850393700785,228.0,0.14035087719298245,Baccalaureate,32.0,196.0,0.08685162745385575
"3_Master's (Small, Medium, Large)",Faculty Issues: Time,26.0,127.0,20.47244094488189,204.0,0.12745098039215685,Masters,26.0,178.0,0.08685162745385575
"4_Doctoral University (High, Higher, Highest Research Activity)",Faculty Issues: Time,37.0,127.0,29.133858267716533,358.0,0.10335195530726257,Doctoral,37.0,321.0,0.08685162745385575
1_Associate's College,Faculty Issues: Curriculum design/integration,6.0,28.0,21.428571428571427,176.0,0.03409090909090909,Associates,6.0,170.0,0.8527802420764669
2_Baccalaureate College,Faculty Issues: Curriculum design/integration,5.0,28.0,17.857142857142858,228.0,0.021929824561403508,Baccalaureate,5.0,223.0,0.8527802420764669
"3_Master's (Small, Medium, Large)",Faculty Issues: Curriculum design/integration,7.0,28.0,25.0,204.0,0.03431372549019608,Masters,7.0,197.0,0.8527802420764669
"4_Doctoral University (High, Higher, Highest Research Activity)",Faculty Issues: Curriculum design/integration,10.0,28.0,35.714285714285715,358.0,0.027932960893854747,Doctoral,10.0,348.0,0.8527802420764669
1_Associate's College,Faculty Issues: Lack of interest,2.0,8.0,25.0,176.0,0.011363636363636364,Associates,2.0,174.0,0.03435648193192582
2_Baccalaureate College,Faculty Issues: Lack of interest,5.0,8.0,62.5,228.0,0.021929824561403508,Baccalaureate,5.0,223.0,0.03435648193192582
"3_Master's (Small, Medium, Large)",Faculty Issues: Lack of interest,1.0,8.0,12.5,204.0,0.004901960784313725,Masters,1.0,203.0,0.03435648193192582
"4_Doctoral University (High, Higher, Highest Research Activity)",Faculty Issues: Lack of interest,0.0,8.0,0.0,358.0,0.0,Doctoral,0.0,358.0,0.03435648193192582
1_Associate's College,Faculty Issues: New Faculty,0.0,2.0,0.0,176.0,0.0,Associates,0.0,176.0,0.6324144122786766
2_Baccalaureate College,Faculty Issues: New Faculty,0.0,2.0,0.0,228.0,0.0,Baccalaureate,0.0,228.0,0.6324144122786766
"3_Master's (Small, Medium, Large)",Faculty Issues: New Faculty,1.0,2.0,50.0,204.0,0.004901960784313725,Masters,1.0,203.0,0.6324144122786766
"4_Doctoral University (High, Higher, Highest Research Activity)",Faculty Issues: New Faculty,1.0,2.0,50.0,358.0,0.002793296089385475,Doctoral,1.0,357.0,0.6324144122786766
1_Associate's College,Curriculum Issues: No space,26.0,100.0,26.0,176.0,0.14772727272727273,Associates,26.0,150.0,0.010772095883090964
2_Baccalaureate College,Curriculum Issues: No space,31.0,100.0,31.0,228.0,0.13596491228070176,Baccalaureate,31.0,197.0,0.010772095883090964
"3_Master's (Small, Medium, Large)",Curriculum Issues: No space,18.0,100.0,18.0,204.0,0.08823529411764706,Masters,18.0,186.0,0.010772095883090964
"4_Doctoral University (High, Higher, Highest Research Activity)",Curriculum Issues: No space,25.0,100.0,25.0,358.0,0.06983240223463687,Doctoral,25.0,333.0,0.010772095883090964
1_Associate's College,Curriculum Issues: Incompatible with current curriculum,19.0,49.0,38.775510204081634,176.0,0.10795454545454546,Associates,19.0,157.0,9.598578241417184e-4
2_Baccalaureate College,Curriculum Issues: Incompatible with current curriculum,5.0,49.0,10.204081632653061,228.0,0.021929824561403508,Baccalaureate,5.0,223.0,9.598578241417184e-4
"3_Master's (Small, Medium, Large)",Curriculum Issues: Incompatible with current curriculum,9.0,49.0,18.367346938775512,204.0,0.04411764705882353,Masters,9.0,195.0,9.598578241417184e-4
"4_Doctoral University (High, Higher, Highest Research Activity)",Curriculum Issues: Incompatible with current curriculum,16.0,49.0,32.6530612244898,358.0,0.0446927374301676,Doctoral,16.0,342.0,9.598578241417184e-4
1_Associate's College,Curriculum Issues: Time needed to develop,9.0,30.0,30.0,176.0,0.05113636363636364,Associates,9.0,167.0,0.10857673626825204
2_Baccalaureate College,Curriculum Issues: Time needed to develop,10.0,30.0,33.33333333333333,228.0,0.043859649122807015,Baccalaureate,10.0,218.0,0.10857673626825204
"3_Master's (Small, Medium, Large)",Curriculum Issues: Time needed to develop,4.0,30.0,13.333333333333334,204.0,0.0196078431372549,Masters,4.0,200.0,0.10857673626825204
"4_Doctoral University (High, Higher, Highest Research Activity)",Curriculum Issues: Time needed to develop,7.0,30.0,23.333333333333332,358.0,0.019553072625698324,Doctoral,7.0,351.0,0.10857673626825204
1_Associate's College,Curriculum Issues: No control,10.0,19.0,52.63157894736842,176.0,0.056818181818181816,Associates,10.0,166.0,8.763364757149842e-4
2_Baccalaureate College,Curriculum Issues: No control,1.0,19.0,5.263157894736842,228.0,0.0043859649122807015,Baccalaureate,1.0,227.0,8.763364757149842e-4
"3_Master's (Small, Medium, Large)",Curriculum Issues: No control,2.0,19.0,10.526315789473683,204.0,0.00980392156862745,Masters,2.0,202.0,8.763364757149842e-4
"4_Doctoral University (High, Higher, Highest Research Activity)",Curriculum Issues: No control,6.0,19.0,31.57894736842105,358.0,0.01675977653631285,Doctoral,6.0,352.0,8.763364757149842e-4
1_Associate's College,Curriculum Issues: Covered elsewhere,2.0,15.0,13.333333333333334,176.0,0.011363636363636364,Associates,2.0,174.0,0.7330082660088597
2_Baccalaureate College,Curriculum Issues: Covered elsewhere,5.0,15.0,33.33333333333333,228.0,0.021929824561403508,Baccalaureate,5.0,223.0,0.7330082660088597
"3_Master's (Small, Medium, Large)",Curriculum Issues: Covered elsewhere,2.0,15.0,13.333333333333334,204.0,0.00980392156862745,Masters,2.0,202.0,0.7330082660088597
"4_Doctoral University (High, Higher, Highest Research Activity)",Curriculum Issues: Covered elsewhere,6.0,15.0,40.0,358.0,0.01675977653631285,Doctoral,6.0,352.0,0.7330082660088597
1_Associate's College,Curriculum Issues: Class size,0.0,8.0,0.0,176.0,0.0,Associates,0.0,176.0,0.3397442828852577
2_Baccalaureate College,Curriculum Issues: Class size,1.0,8.0,12.5,228.0,0.0043859649122807015,Baccalaureate,1.0,227.0,0.3397442828852577
"3_Master's (Small, Medium, Large)",Curriculum Issues: Class size,2.0,8.0,25.0,204.0,0.00980392156862745,Masters,2.0,202.0,0.3397442828852577
"4_Doctoral University (High, Higher, Highest Research Activity)",Curriculum Issues: Class size,5.0,8.0,62.5,358.0,0.013966480446927373,Doctoral,5.0,353.0,0.3397442828852577
1_Associate's College,Curriculum Issues: Plan for future coverage,2.0,8.0,25.0,176.0,0.011363636363636364,Associates,2.0,174.0,0.8772325346224384
2_Baccalaureate College,Curriculum Issues: Plan for future coverage,1.0,8.0,12.5,228.0,0.0043859649122807015,Baccalaureate,1.0,227.0,0.8772325346224384
"3_Master's (Small, Medium, Large)",Curriculum Issues: Plan for future coverage,2.0,8.0,25.0,204.0,0.00980392156862745,Masters,2.0,202.0,0.8772325346224384
"4_Doctoral University (High, Higher, Highest Research Activity)",Curriculum Issues: Plan for future coverage,3.0,8.0,37.5,358.0,0.008379888268156424,Doctoral,3.0,355.0,0.8772325346224384
1_Associate's College,Curriculum Issues: Too much content,0.0,4.0,0.0,176.0,0.0,Associates,0.0,176.0,0.4790341777356357
2_Baccalaureate College,Curriculum Issues: Too much content,1.0,4.0,25.0,228.0,0.0043859649122807015,Baccalaureate,1.0,227.0,0.4790341777356357
"3_Master's (Small, Medium, Large)",Curriculum Issues: Too much content,2.0,4.0,50.0,204.0,0.00980392156862745,Masters,2.0,202.0,0.4790341777356357
"4_Doctoral University (High, Higher, Highest Research Activity)",Curriculum Issues: Too much content,1.0,4.0,25.0,358.0,0.002793296089385475,Doctoral,1.0,357.0,0.4790341777356357
1_Associate's College,Curriculum Issues: Content requires several courses,0.0,1.0,0.0,176.0,0.0,Associates,0.0,176.0,0.2910420140583419
2_Baccalaureate College,Curriculum Issues: Content requires several courses,0.0,1.0,0.0,228.0,0.0,Baccalaureate,0.0,228.0,0.2910420140583419
"3_Master's (Small, Medium, Large)",Curriculum Issues: Content requires several courses,1.0,1.0,100.0,204.0,0.004901960784313725,Masters,1.0,203.0,0.2910420140583419
"4_Doctoral University (High, Higher, Highest Research Activity)",Curriculum Issues: Content requires several courses,0.0,1.0,0.0,358.0,0.0,Doctoral,0.0,358.0,0.2910420140583419
1_Associate's College,Resource Issues: Access to exercises,9.0,38.0,23.684210526315788,176.0,0.05113636363636364,Associates,9.0,167.0,0.5464232025395126
2_Baccalaureate College,Resource Issues: Access to exercises,10.0,38.0,26.31578947368421,228.0,0.043859649122807015,Baccalaureate,10.0,218.0,0.5464232025395126
"3_Master's (Small, Medium, Large)",Resource Issues: Access to exercises,9.0,38.0,23.684210526315788,204.0,0.04411764705882353,Masters,9.0,195.0,0.5464232025395126
"4_Doctoral University (High, Higher, Highest Research Activity)",Resource Issues: Access to exercises,10.0,38.0,26.31578947368421,358.0,0.027932960893854747,Doctoral,10.0,348.0,0.5464232025395126
