Var1,Var2,value,summed_score,percentage,responses,proportion,nice_names,positive_scored_response,null_scored_response,prop_test_chi_pvalue,proportion_error,ymax,ymin
Formal Training,Faculty Issues: Expertise/training,19.0,175.0,10.857142857142858,249.0,0.07630522088353414,Formal_Training,19.0,230.0,4.341382373891867e-14,0.032975378474892625,0.07882141442177897,0.07378902734528932
No Training,Faculty Issues: Expertise/training,44.0,175.0,25.142857142857146,103.0,0.42718446601941745,No_Training,44.0,59.0,4.341382373891867e-14,0.09553106030354622,0.4679938510034566,0.3863750810353783
Self Taught,Faculty Issues: Expertise/training,75.0,175.0,42.857142857142854,469.0,0.15991471215351813,SelfDTaught,75.0,394.0,4.341382373891867e-14,0.03317168781910741,0.16521935306275706,0.1546100712442792
Workshops and Bootcamps,Faculty Issues: Expertise/training,37.0,175.0,21.142857142857142,231.0,0.16017316017316016,Workshops_and_Bootcamps,37.0,194.0,4.341382373891867e-14,0.04729680978853776,0.16774883966309911,0.1525974806832212
Formal Training,Faculty Issues: Time,32.0,135.0,23.703703703703706,249.0,0.1285140562248996,Formal_Training,32.0,217.0,0.3645102543629572,0.04156750201027517,0.1338560645153767,0.12317204793442246
No Training,Faculty Issues: Time,15.0,135.0,11.11111111111111,103.0,0.14563106796116504,No_Training,15.0,88.0,0.3645102543629572,0.06812071842948403,0.15555156093633263,0.13571057498599745
Self Taught,Faculty Issues: Time,66.0,135.0,48.888888888888886,469.0,0.14072494669509594,SelfDTaught,66.0,403.0,0.3645102543629572,0.03147120107741711,0.14515372978914612,0.13629616360104577
Workshops and Bootcamps,Faculty Issues: Time,22.0,135.0,16.296296296296298,231.0,0.09523809523809523,Workshops_and_Bootcamps,22.0,209.0,0.3645102543629572,0.03785424639563793,0.09884326156148932,0.09163292891470115
Formal Training,Curriculum Issues: No space,23.0,102.0,22.54901960784314,249.0,0.09236947791164658,Formal_Training,23.0,226.0,0.5396335608180104,0.035963935322479657,0.09569144784103226,0.08904750798226091
No Training,Curriculum Issues: No space,9.0,102.0,8.823529411764707,103.0,0.08737864077669903,No_Training,9.0,94.0,0.5396335608180104,0.054535265962336675,0.09214385819088379,0.08261342336251427
Self Taught,Curriculum Issues: No space,52.0,102.0,50.98039215686274,469.0,0.11087420042643924,SelfDTaught,52.0,417.0,0.5396335608180104,0.028415710940619694,0.11402476965652927,0.1077236311963492
Workshops and Bootcamps,Curriculum Issues: No space,18.0,102.0,17.647058823529413,231.0,0.07792207792207792,Workshops_and_Bootcamps,18.0,213.0,0.5396335608180104,0.03456656110969227,0.08061557619036563,0.0752285796537902
Formal Training,Curriculum Issues: Incompatible with current curriculum,9.0,52.0,17.307692307692307,249.0,0.03614457831325301,Formal_Training,9.0,240.0,0.3887395290889346,0.02318333687486067,0.03698253024848894,0.035306626378017084
No Training,Curriculum Issues: Incompatible with current curriculum,8.0,52.0,15.384615384615385,103.0,0.07766990291262135,No_Training,8.0,95.0,0.3887395290889346,0.051689109487639724,0.08168459102816619,0.07365521479707651
Self Taught,Curriculum Issues: Incompatible with current curriculum,25.0,52.0,48.07692307692308,469.0,0.053304904051172705,SelfDTaught,25.0,444.0,0.3887395290889346,0.020330605643006552,0.0543886250342754,0.05222118306807001
Workshops and Bootcamps,Curriculum Issues: Incompatible with current curriculum,10.0,52.0,19.230769230769234,231.0,0.04329004329004329,Workshops_and_Bootcamps,10.0,221.0,0.3887395290889346,0.026243772119394243,0.044426137321185895,0.04215394925890068
