Var1,Var2,value,summed_score,percentage,responses,proportion,nice_names,positive_scored_response,null_scored_response,prop_test_chi_pvalue,proportion_error,ymax,ymin
1_Associate's College,Faculty Issues: Expertise/training,57,272,20.955882352941178,176,0.32386363636363635,AssociateQs,57,119,8.253925939928152e-6,0.06913373137722045,34.625353800284984,30.14737347244229
2_Baccalaureate College,Faculty Issues: Expertise/training,85,272,31.25,228,0.37280701754385964,Baccalaureate,85,143,8.253925939928152e-6,0.06276583374406029,39.62065608256365,34.94074742620828
"3_Master's (Small, Medium, Large)",Faculty Issues: Expertise/training,62,272,22.794117647058822,204,0.30392156862745096,MasterQs,62,142,8.253925939928152e-6,0.0631164925720932,32.31040320562244,28.47391051986775
"4_Doctoral University (High, Higher, Highest Research Activity)",Faculty Issues: Expertise/training,68,272,25,358,0.18994413407821228,Doctoral,68,290,8.253925939928152e-6,0.04063282393589853,19.766210063586897,18.222616752055558
1_Associate's College,Faculty Issues: Time,15,82,18.29268292682927,176,0.08522727272727272,AssociateQs,15,161,0.4890924665815699,0.041251301644753935,8.874300866290517,8.171153679164028
2_Baccalaureate College,Faculty Issues: Time,22,82,26.82926829268293,228,0.09649122807017543,Baccalaureate,22,206,0.4890924665815699,0.03832575959773997,10.018932768048368,9.279312845986718
"3_Master's (Small, Medium, Large)",Faculty Issues: Time,12,82,14.634146341463413,204,0.058823529411764705,MasterQs,12,192,0.4890924665815699,0.03228821803486611,6.072283635499212,5.692422246853729
"4_Doctoral University (High, Higher, Highest Research Activity)",Faculty Issues: Time,33,82,40.243902439024396,358,0.09217877094972067,Doctoral,33,325,0.4890924665815699,0.029965546422989157,9.49409581898286,8.941658370961274
1_Associate's College,Faculities Issues: Access to computer labs,8,45,17.77777777777778,176,0.045454545454545456,AssociateQs,8,168,0.6035024047976569,0.03077362970392369,4.685334680472381,4.405574410436711
2_Baccalaureate College,Faculities Issues: Access to computer labs,14,45,31.11111111111111,228,0.06140350877192982,Baccalaureate,14,214,0.6035024047976569,0.031161383058113848,6.331692702988417,5.949009051397546
