"","Var1","Var2","value","summed_score","percentage","responses","proportion","nice_names"
"1","1_Associate's College","Faculty Issues: Expertise/training",57,272,20.9558823529412,176,0.323863636363636,"AssociateQs"
"2","2_Baccalaureate College","Faculty Issues: Expertise/training",85,272,31.25,228,0.37280701754386,"Baccalaureate"
"3","3_Master's (Small, Medium, Large)","Faculty Issues: Expertise/training",62,272,22.7941176470588,204,0.303921568627451,"MasterQs"
"4","4_Doctoral University (High, Higher, Highest Research Activity)","Faculty Issues: Expertise/training",68,272,25,358,0.189944134078212,"Doctoral"
"5","1_Associate's College","Faculty Issues: Time",15,82,18.2926829268293,176,0.0852272727272727,"AssociateQs"
"6","2_Baccalaureate College","Faculty Issues: Time",22,82,26.8292682926829,228,0.0964912280701754,"Baccalaureate"
"7","3_Master's (Small, Medium, Large)","Faculty Issues: Time",12,82,14.6341463414634,204,0.0588235294117647,"MasterQs"
"8","4_Doctoral University (High, Higher, Highest Research Activity)","Faculty Issues: Time",33,82,40.2439024390244,358,0.0921787709497207,"Doctoral"
"9","1_Associate's College","Faculty Issues: Differences of opinion",3,15,20,176,0.0170454545454545,"AssociateQs"
"10","2_Baccalaureate College","Faculty Issues: Differences of opinion",2,15,13.3333333333333,228,0.0087719298245614,"Baccalaureate"
"11","3_Master's (Small, Medium, Large)","Faculty Issues: Differences of opinion",6,15,40,204,0.0294117647058824,"MasterQs"
"12","4_Doctoral University (High, Higher, Highest Research Activity)","Faculty Issues: Differences of opinion",4,15,26.6666666666667,358,0.0111731843575419,"Doctoral"
"13","1_Associate's College","Faculty Issues: Content development",3,13,23.0769230769231,176,0.0170454545454545,"AssociateQs"
"14","2_Baccalaureate College","Faculty Issues: Content development",3,13,23.0769230769231,228,0.0131578947368421,"Baccalaureate"
"15","3_Master's (Small, Medium, Large)","Faculty Issues: Content development",2,13,15.3846153846154,204,0.00980392156862745,"MasterQs"
"16","4_Doctoral University (High, Higher, Highest Research Activity)","Faculty Issues: Content development",5,13,38.4615384615385,358,0.0139664804469274,"Doctoral"
"17","1_Associate's College","Faculty Issues: Too few faculty",0,8,0,176,0,"AssociateQs"
"18","2_Baccalaureate College","Faculty Issues: Too few faculty",1,8,12.5,228,0.0043859649122807,"Baccalaureate"
"19","3_Master's (Small, Medium, Large)","Faculty Issues: Too few faculty",1,8,12.5,204,0.00490196078431373,"MasterQs"
"20","4_Doctoral University (High, Higher, Highest Research Activity)","Faculty Issues: Too few faculty",6,8,75,358,0.0167597765363128,"Doctoral"
"21","1_Associate's College","Faculities Issues: Access to computer labs",8,45,17.7777777777778,176,0.0454545454545455,"AssociateQs"
"22","2_Baccalaureate College","Faculities Issues: Access to computer labs",14,45,31.1111111111111,228,0.0614035087719298,"Baccalaureate"
"23","3_Master's (Small, Medium, Large)","Faculities Issues: Access to computer labs",7,45,15.5555555555556,204,0.0343137254901961,"MasterQs"
"24","4_Doctoral University (High, Higher, Highest Research Activity)","Faculities Issues: Access to computer labs",16,45,35.5555555555556,358,0.0446927374301676,"Doctoral"
"25","1_Associate's College","Faculities Issues: Inadaquate computers",0,5,0,176,0,"AssociateQs"
"26","2_Baccalaureate College","Faculities Issues: Inadaquate computers",1,5,20,228,0.0043859649122807,"Baccalaureate"
"27","3_Master's (Small, Medium, Large)","Faculities Issues: Inadaquate computers",1,5,20,204,0.00490196078431373,"MasterQs"
"28","4_Doctoral University (High, Higher, Highest Research Activity)","Faculities Issues: Inadaquate computers",3,5,60,358,0.00837988826815642,"Doctoral"
"29","1_Associate's College","Resource Issues: Access to software",13,45,28.8888888888889,176,0.0738636363636364,"AssociateQs"
